video_id,category_id,views,likes,dislikes,comment_count
NZFhMSgbKKM,17,945,7,5,8
0tO_l_Ed5Rs,10,328330,15186,15448,7484
STI2fI7sKMo,22,321053,4451,1772,895
BWPrk9PUwQE,26,1456472,33505,1660,2160
ogYum4kWXgk,24,69844,3417,33,160
sbcbvuitiTc,17,956169,2017,2425,1447
zNqCVTs38nU,17,4569,35,18,19
DM-ni_LSOFE,24,2045386,45406,2842,8309
0PpNlNJ6Nng,24,1842393,99086,1339,11800
c-3JxzN2u34,25,6473,205,6,15
069D0NmW39o,17,1044813,15397,838,1100
9t9u_yPEidY,10,9548677,190083,15015,11473
KODzih-pYlU,22,197062,7250,217,456
8NHA23f7LvU,24,1496225,16116,236,605
w0XYVssCKjw,17,162597,5734,106,525
9XSULcLI6Hg,25,9132,21,8,64
pjuPpVLXDQg,2,7265,89,8,22
9xSx-5tmq44,24,291597,8209,344,1062
4v0nOAzcG2A,28,290801,10237,377,1016
oTObwUiXdYY,25,5304,52,13,68
1cgK-BIrXes,24,812516,26917,1979,4998
ujyTQNNjjDU,10,2642930,115795,3055,6410
PABlVzeldaM,25,105058,493,54,347
6340tX9M_eM,24,537715,8231,413,970
8mhTWqWlQzU,22,2744430,115426,1110,6541
t4YAyT4ihIQ,23,3358068,120876,8279,6408
MNiweoKXwfg,24,4732,203,6,33
Jw1Y-zhQURU,26,7224515,55681,10247,9479
2Vv-BfVoq4g,10,33523622,1634124,21082,85067
UFYCTJlayS4,1,52591,2233,187,255
cccyOn99s4Y,24,75822,2978,147,243
abGCYPCk294,24,43715,1550,109,1031
lY_0mkYDZDU,10,303956,18603,585,1745
k8NxqyGcZA4,24,238643,2429,5381,2325
IE-xepGLVt8,28,237307,1896,74,260
ObIQ0s02UHg,10,1282413,37669,1732,1691
cOc3tsFWoRs,24,1497519,15504,353,1084
AJYb0Yom5UQ,23,148226,355,47,178
gLswXiRLdkA,26,484185,23296,1184,1858
MyEqfBkzESU,26,300617,8133,2693,2911
wJYE0sFOteE,26,92523,2323,40,134
L_5_slz4ke4,25,7524,67,19,56
OKoL852K9uA,26,103927,3571,278,399
pa_oUisZZy0,22,177707,6271,88,275
fNtLIcyjsnI,1,1751064,16430,945,1231
_Iz83-Cmt6A,10,46746,439,66,55
YlvCVbfS9M0,10,746092,34839,537,2541
arJ5h2TY3I4,24,836830,82320,1279,7998
-2RVw2_QyxQ,27,67429,438,23,23
gEHCXl4J9Qo,24,2237404,72593,1830,3501
#NAME?,15,45455,2282,35,17
b4vTZx_AtHk,26,2063667,98804,11682,11443
kOnQocd799Y,1,2736733,58967,3492,7915
e4FApt6z55c,10,165698,8599,361,930
2XK4omx9uMU,10,836544,40195,373,976
xfmipNU4Odc,15,284666,16396,81,949
jp9hK-jY6yY,23,3371669,202676,3394,20086
RkHuWjiR-LM,10,195685,14338,171,1070
fCTKDn3Q8xQ,22,1098897,43875,1326,4702
DIU3xPdhCBI,10,893462,22326,833,943
wnwF1FHybDQ,23,225286,1731,193,206
9oFP-pOMNwE,24,264793,3283,853,0
pz95u3UVpaM,10,5476737,286268,4083,12254
g5c1bk8weaQ,23,3578502,307435,2573,12248
yuBqWcSKrCk,24,304926,3305,130,275
x9mh-SwSKas,26,247319,10138,153,639
uiA4B5Y63IQ,1,296434,3327,142,377
viyRD5z6ilQ,10,125962,5048,139,369
QFfEtKvXMAs,10,419341,53572,168,3083
xg9ebVTL9yE,10,138988,7999,84,612
fbHbTBP_u7U,10,1774018,88417,1002,7686
Ja_GMU7-sjs,28,1575525,52829,1524,5864
QOksZ8VogRw,10,626688,25115,499,1392
RYs08kX3Ih4,26,219030,14303,398,1099
tOFkFZbPdnQ,10,493662,7693,181,388
dW4wpGg64pE,24,1017803,25122,628,1504
2VP846QcA_4,24,139955,4417,217,457
_dhneCO4YEE,22,362009,5505,2356,1264
EYkEshCOhEU,22,294387,15247,385,976
Rq9-mW6HgQE,24,844653,11616,313,1518
k29YnfttqEU,23,1315873,9312,584,769
Eg_kW5fw6qU,22,188003,9091,135,2814
J_QGZspO4gg,10,1624771,84426,1130,5981
PkRBTF6nt4E,25,125970,935,507,262
ozkqm2ifMw8,10,205869,11198,120,446
htvR_dBs3eg,10,98422,2926,106,798
qEEtzzi1EII,15,426078,19323,245,945
1Wk8ZRgXQnY,10,33315,1365,24,91
8l_e6bx8UG8,10,1231518,32648,6221,9288
lsfzA7sWlOM,20,154872,7683,164,1734
RQDphL2MVlM,26,72626,3652,120,219
X7flefV8tec,24,366180,4364,4448,1997
cYw-oyJ7AEY,10,264511,11736,532,743
6nJw-jPQYVI,24,192609,1345,24,126
5x1FAiIq_pQ,10,95944,1354,181,117
LMCuKltaY3M,10,154494,2163,147,211
6Detw08jRhs,22,53321,443,131,106
vd4zwINEcLY,24,95085,909,52,193
7fm7mll2qvg,10,91776,4604,46,357
5gFpcEKayz4,10,764716,35765,483,1159
eHIY3HNNqzM,10,135337,7158,89,318
q-WipZ9p0wk,26,77630,1991,83,208
zy0b9e40tK8,24,378750,5642,146,675
rL4WkebTT_U,24,151709,9210,71,1103
Y6eKxjMA9ek,24,175852,15909,200,852
Q6Usd3_fbq8,10,5149,242,0,54
44NYFvhXmW8,10,1905487,65854,2442,4490
9wg3v-01yKQ,10,9632678,810895,16139,59473
F-j_6IuaYfw,24,476389,16106,950,2077
_qSW96a2aKY,24,754558,11985,1356,1757
afgvlR9WmIQ,10,762616,20159,336,899
_CJN_ryETIY,24,199429,10175,66,539
P4YJwy_T9pM,22,691229,31892,197,1404
YqH4eWR7jDQ,27,6412,49,0,2
r96KpNTcog4,23,108618,4989,58,274
B4gXsobd_ao,27,79306,3809,127,670
x8eLIJAM58M,24,812007,5894,951,851
6V_aZsATDsM,26,55398,1170,22,336
qg0GdM60syI,27,773,2,0,0
8j_BYfVEyhA,24,581288,5075,725,1780
9ymjcSvEyhk,10,99619,3959,158,335
oB3SAI2oCqk,2,4850,22,1,1
HNa_UWX51_s,10,226088,10844,302,555
08nkwgZIE4I,10,651036,23338,442,1101
5Smb3tZD1Qc,24,451356,3454,284,623
YHDbsyyjld0,15,46571,4250,16,408
uyl6WtHEYOQ,24,28539,681,25,45
bhoFXkVy8JA,1,12609,40,79,17
_w58R1OGQFA,10,30021,569,42,44
BEweWXa5Twk,26,471266,23634,460,1714
egXr0PU-kCY,24,1073134,47793,1886,5358
fIQ2Ty2OL34,17,18573,420,10,236
d_j512i2k6c,27,250193,5748,332,1197
4d07RXYLsJE,28,1827,3,0,2
DOIw62TXYkg,28,2457408,2707,200,209
0lbJHqAGpbA,23,51143,258,5,10
JuP1Z8xpRb8,24,27010,1666,36,150
CR9zYgr84QY,26,122669,5723,55,263
1640fZpYBSY,22,358597,1211,72,593
M2-IpsWQUWs,24,56012,6243,106,414
7m630xvAJtA,22,6148,121,3,19
510KQ_LXGww,26,1390440,86207,1775,710
CO9dIyNM_9Q,25,244532,633,174,765
hX643KbiI4s,24,82087,998,93,289
mwpHSMv1pI4,23,359120,15130,223,1143
Mfiim71QdYQ,25,33768,426,88,550
UFPSIa1cLRQ,10,38068,2195,28,154
o78x918zbFk,26,1277364,56867,2148,25326
iNf6VErGDLI,10,1498866,67227,1473,4645
6ixU_vdE0Es,22,280065,20289,38,939
wRGldR_SQAA,22,2259,0,0,0
agKDPntMv-E,17,470191,4037,430,1553
Xl38SuxyrgM,17,16305,147,13,47
u7pV4vxD1bs,25,169511,57,59,79
zYWt2mnalP8,24,160477,8388,691,950
PoNWU2cox9w,2,704363,16352,224,841
6hTzM1BPdU8,22,130778,5684,53,737
MCW5HUkrr-o,28,560569,29990,341,1788
YvfYK0EEhK4,23,462490,14132,795,666
cxMvzK2OQTw,23,295217,4854,1439,1267
bAkEd8r7Nnw,24,1525400,63995,896,4697
ItYOdWRo0JY,28,1836419,28647,17815,7860
5530I_pYjbo,26,977285,87615,391,5575
dUMH6DVYskc,28,390964,3687,1273,1224
gjXrm2Q-te4,23,1611093,58474,837,3294
9SK1I0V6U5c,23,983365,60983,578,3837
VsYmwBOYfW8,23,2765121,35529,1705,2388
kgaO45SyaO4,28,3701763,56561,2495,11608
CtBca6H6Teg,1,829132,25109,316,3428
pcWKpGzhgq4,24,391049,5939,106,385
L3br0klRqF4,25,137003,580,262,343
9kF9xY74h-E,23,891912,122347,455,7459
p2EY93WfBQk,26,175539,17130,264,1747
xL_qpDkF5A8,24,14565,478,13,67
eQVhAN7-IAw,10,125645,16754,65,1373
2kyS6SvSYSE,22,2188590,88099,7150,24225
Y9nDagqKL7Q,1,394709,25188,281,1345
DbJ2s_g1oDc,24,863116,20518,1030,4272
KJ12FVmumeA,17,200235,1197,108,627
1ZAPwfrtAFY,24,4632016,131784,9892,18284
qDAxDcjgn-8,10,122426,6310,298,1624
gHZ1Qz0KiKM,28,758998,19138,2272,2873
815lSYphlbw,26,145100,5198,74,657
jr9QtXwC9vc,1,2671756,12699,505,1010
E_86MEdNsAI,24,52743,4553,33,550
Cr9oGxr0Qa0,28,121681,6095,61,731
g0K5QoEj7FQ,24,11404,62,26,20
l4bAoNAx2uo,27,419965,9805,1337,5457
TSqwDQHE1J8,23,137749,1145,61,131
puqaWrEC7tY,24,772235,15301,1229,3328
YVfyYrEmzgM,27,297147,10410,110,665
MltuW2kcREI,24,126438,12229,86,1865
5E4ZBSInqUU,10,2285136,180284,3399,11700
jGiqc3HSxEg,27,206319,11131,209,553
XrDlDj9DfZs,24,60564,975,66,106
vU14JY3x81A,27,373457,16433,194,5220
5qpjK5DgCt4,23,4326684,167696,6730,9265
Z3OZyb2iWqQ,24,137860,1950,64,136
Hq89wYzOjfs,27,4009,61,6,14
vZzIS17HexE,24,3006,75,4,10
TUmyygCMMGA,25,635985,20721,2417,4111
lZ68j2J_GOM,23,130893,8177,220,349
yZGSIpcAfEo,17,46954,87,18,28
zZ9FciUx6gs,10,208155,11162,569,954
zxUwbflE1SY,24,190669,5162,131,1151
d380meD0W0M,24,2509626,144816,2262,18893
7oRdswHqaf8,26,20778,1440,24,437
oTObwUiXdYY,25,30438,143,42,220
qC0I5PEhkJo,17,94694,136,11,31
VifQlJit6A0,24,211683,2279,545,1838
PaJCFHXcWmM,10,210393,8996,290,4043
0zk2SwmCpss,17,63780,831,12,301
SGVbdo2CkgI,24,18438,563,16,29
nc99ccSXST0,28,1099318,26813,1047,3827
NfLVVJOuY5M,17,71661,6310,18,300
F388-6yDDpc,17,935879,5715,514,3442
KhdecX0qjNA,10,131153,7129,78,265
iIxy3JN3-jc,25,84149,276,128,172
kWIzjMWmuYk,23,34138,4303,29,1399
symdi5KSJts,24,144937,5246,171,280
_-aDHxoblr4,27,306550,16612,160,1311
eNSN6qet1kE,28,328325,19970,104,3336
39idVpFF7NQ,24,2472569,17959,2863,2690
U0hAC8O7RoI,2,341074,10915,1915,1313
5hEJsoDP2q4,24,113963,11576,155,635
NZFhMSgbKKM,17,21544,83,74,62
lBHPVE3AI6Y,25,93322,398,43,497
e_7zHm7GsYc,10,68084,2530,88,117
TaTleo4cOs8,15,279092,8339,315,2371
GgVmn66oK_A,25,692631,9086,1406,4582
ogYum4kWXgk,24,155285,4719,64,207
kIUHDwn51y8,2,93829,2229,36,469
Lz7dya576HY,26,31639,586,42,67
zNqCVTs38nU,17,37524,126,77,45
ZAQs-ctOqXQ,23,358358,9211,731,1385
fcVjitaM3LY,28,158173,6587,68,611
kqmhCaF5_44,10,45200,930,67,116
B5HORANmzHw,27,286577,9606,248,1196
6VhU_T463sU,28,315177,4212,171,259
JBZTZZAcFTw,26,225044,2265,775,868
eAyxMv4IBH8,23,399491,6240,326,287
qeWvgZLz9yU,26,231104,12862,347,1824
EJu_wPGFTw0,17,5813,33,3,0
MKLlDnUqho4,10,18317,1322,34,196
wwZ-T_WQ03A,1,246134,5847,337,544
9XSULcLI6Hg,25,32483,23,10,135
hz7ukDjuq4w,24,113462,4566,142,757
p2hJxyF7mok,19,311621,2425,145,465
CBVGjS_EJok,24,94229,217,177,0
i-LCORFB860,19,571588,386,47,113
dRpNZV18N_g,24,272604,9576,260,1619
vWYyZMH_QjA,1,42336,4293,89,428
MNiweoKXwfg,24,13750,305,10,39
VJlSq6h0LNg,17,6684,18,57,54
ijJPFowBsBc,22,128523,4170,148,307
HBS9783c0BI,24,102639,3218,1085,475
n1WpP7iowLc,10,20539417,840642,47715,124236
PABlVzeldaM,25,238413,732,92,618
JwboxqDylgg,17,41029,296,32,33
dQvIbulWCM4,23,805124,44513,1756,3929
pjuPpVLXDQg,2,55140,136,14,46
0mlNzVSJrT0,22,120817,2896,210,594
n30k5CwLhS4,1,58469,828,253,271
0tO_l_Ed5Rs,10,360223,15873,16033,7803
BWPrk9PUwQE,26,1775997,37124,1980,2695
1WDj0DddCcM,25,6685,11,35,18
bqgVB6Vl-lI,24,200060,4548,52,258
STI2fI7sKMo,22,346924,4657,1838,734
9t9u_yPEidY,10,12987863,216319,17751,12133
0PpNlNJ6Nng,24,1981757,103407,1419,12354
sbcbvuitiTc,17,1015189,2133,2483,1465
ZhSk8mPSWCg,24,3653,47,3,25
DM-ni_LSOFE,24,2255529,48000,2970,8507
069D0NmW39o,17,1155622,16060,883,1018
c-3JxzN2u34,25,9892,250,7,19
qooQd8AA7_M,10,5626588,408618,6121,28196
9KIP-Ncp2jU,22,85643,170,45,0
KODzih-pYlU,22,212310,7589,227,463
w0XYVssCKjw,17,180284,6073,125,512
9xSx-5tmq44,24,301423,8409,349,952
1cgK-BIrXes,24,835573,27068,2021,5165
ujyTQNNjjDU,10,3686343,130373,3628,6694
4v0nOAzcG2A,28,297840,10429,378,990
8mhTWqWlQzU,22,2922523,119348,1161,6736
6340tX9M_eM,24,595415,8795,450,1022
t4YAyT4ihIQ,23,3643894,125205,8702,5687
L_5_slz4ke4,25,9833,73,21,62
Jw1Y-zhQURU,26,7563254,58209,10859,7120
_Iz83-Cmt6A,10,54341,487,67,64
lY_0mkYDZDU,10,357078,19783,610,1732
ObIQ0s02UHg,10,1888789,44007,1997,1794
AJYb0Yom5UQ,23,168446,374,48,191
k8NxqyGcZA4,24,263656,2556,5584,2377
gLswXiRLdkA,26,515525,24115,1249,1860
2Vv-BfVoq4g,10,39082222,1721383,23137,90352
i4YQRLQVixM,28,1080230,2540,887,1040
YlvCVbfS9M0,10,873362,36365,594,2630
MyEqfBkzESU,26,366892,9052,2993,3088
Fyyua5JzD9w,22,48372,382,11,29
pa_oUisZZy0,22,216766,7108,95,319
cccyOn99s4Y,24,81086,3085,150,250
9Th4qTv-4jE,28,3931,17,0,2
arJ5h2TY3I4,24,1072970,102199,1469,8943
UFYCTJlayS4,1,56372,2332,191,261
-2RVw2_QyxQ,27,69786,453,26,19
e4FApt6z55c,10,204298,9321,386,993
uTH--XRCGxM,24,101233,3128,51,93
2XK4omx9uMU,10,1126501,48219,444,1083
gEHCXl4J9Qo,24,2498463,75023,1925,3483
RkHuWjiR-LM,10,224608,14843,180,1004
#NAME?,15,45965,2284,35,17
xfmipNU4Odc,15,317304,17023,84,939
fNtLIcyjsnI,1,1996082,18992,1049,1322
abGCYPCk294,24,44939,1576,110,1021
OKoL852K9uA,26,118316,3823,294,404
b4vTZx_AtHk,26,2244971,101831,12677,11863
kOnQocd799Y,1,2844271,60500,3667,8122
wJYE0sFOteE,26,99019,2404,40,135
jp9hK-jY6yY,23,3591699,212004,3528,20418
DIU3xPdhCBI,10,1137392,26180,992,1055
viyRD5z6ilQ,10,147193,5405,151,395
QFfEtKvXMAs,10,482334,55001,184,3027
x9mh-SwSKas,26,269509,10801,158,653
g5c1bk8weaQ,23,3741812,314872,2647,12114
fCTKDn3Q8xQ,22,1185773,45513,1378,4794
xg9ebVTL9yE,10,178313,9072,98,656
fbHbTBP_u7U,10,2185367,96850,1130,8216
uiA4B5Y63IQ,1,366814,4099,172,449
QOksZ8VogRw,10,797436,29425,585,1497
Ja_GMU7-sjs,28,1646057,53901,1566,5963
9oFP-pOMNwE,24,271685,3330,854,0
ttf_EzEkxBk,17,3505996,5934,3400,5162
Eg_kW5fw6qU,22,194946,9278,137,2803
_dhneCO4YEE,22,392482,5659,2432,1311
J_QGZspO4gg,10,1882868,88072,1219,6083
ozkqm2ifMw8,10,226317,11702,125,471
RYs08kX3Ih4,26,232083,14766,408,1107
PkRBTF6nt4E,25,144694,1012,588,288
Rq9-mW6HgQE,24,908489,12261,339,1600
LMCuKltaY3M,10,180606,2400,159,239
EYkEshCOhEU,22,308352,15765,399,984
6nJw-jPQYVI,24,193832,1351,25,128
1Wk8ZRgXQnY,10,41251,1561,29,96
tOFkFZbPdnQ,10,524911,7822,185,403
qEEtzzi1EII,15,467804,19962,268,953
RQDphL2MVlM,26,77302,3756,123,222
cYw-oyJ7AEY,10,304700,12347,577,756
8l_e6bx8UG8,10,1440724,36686,6598,9637
_qSW96a2aKY,24,878560,12961,1468,1788
2VP846QcA_4,24,155533,4621,233,451
lsfzA7sWlOM,20,161231,7803,169,1479
X7flefV8tec,24,379918,4472,4507,2066
l7je4VAUvjA,25,90454,211,65,59
eHIY3HNNqzM,10,157037,7800,96,326
5gFpcEKayz4,10,895507,38734,550,1270
r96KpNTcog4,23,134372,7979,80,310
6Detw08jRhs,22,55901,477,132,105
_CJN_ryETIY,24,207678,10372,69,554
8-Cjsnq8kVU,1,3979891,151850,2378,8079
hpapqEeb36k,26,387902,24442,414,1346
cmoknv58jjE,22,1803724,57470,5261,7483
sottGW1p5os,24,3621389,141681,1289,8127
cxMvzK2OQTw,23,1012513,20036,6510,5153
EEIP1YpFXrE,20,224426,17784,225,2762
YvfYK0EEhK4,23,1147169,31832,1902,1498
dUMH6DVYskc,28,1362421,8970,4131,3857
pgjRX9oGF7g,24,593969,24672,735,5173
bAkEd8r7Nnw,24,2916453,93039,1765,6493
_BVAJ3PXZ1k,25,533940,12633,597,1828
8hKbIhrb1WU,24,1559003,29898,884,1838
ItYOdWRo0JY,28,2900560,37329,34908,10768
RTaDvKMtUeA,24,760341,13283,317,433
5530I_pYjbo,26,1961066,142740,773,8471
jG1JY0rt2Os,10,1258937,114661,2509,11298
RrhSJzM8NLE,10,133212,6260,202,528
xL_qpDkF5A8,24,235655,2665,109,336
0gwkMY-mzUQ,24,208117,21334,255,1229
UwdLlnPaRAU,17,229515,9435,90,759
ve3oQBjcAGI,1,1496471,43974,2045,9442
C4YNcqNF4hg,23,211596,3802,78,232
gjXrm2Q-te4,23,2223948,76806,1169,4176
kgaO45SyaO4,28,5531707,72727,3362,14816
k1cA-Wh3Tc0,28,623803,17286,511,6126
9SK1I0V6U5c,23,1610930,85208,916,5001
Mn-3c6of8t8,24,42571,3557,147,693
eQVhAN7-IAw,10,507753,35595,483,2176
TN5jzDgORqQ,24,237107,2207,138,261
9Ca8zWJOlFQ,28,1825705,77531,4156,12025
CtBca6H6Teg,1,1251180,32186,455,4166
mcqWcLDUeag,24,79863,259,131,47
4SANXNco_y4,10,50934,2793,104,295
#NAME?,27,21740,979,5,93
pcWKpGzhgq4,24,574778,7517,154,515
L3br0klRqF4,25,153220,660,320,479
oRF2-ZloSqg,17,845763,17929,502,2325
g0K5QoEj7FQ,24,42769,175,117,100
lzgQrHFDNLE,27,177648,6932,786,697
qDAxDcjgn-8,10,225337,9576,587,2282
0ANDjPQPS_Q,26,17901,2325,50,429
p2EY93WfBQk,26,290124,23472,483,2308
4ftGS_6i7mM,17,15232,84,11,20
9kF9xY74h-E,23,1291560,152975,650,8490
vZzIS17HexE,24,28895,309,81,76
Y9nDagqKL7Q,1,520049,28187,452,1607
upEIZAihcwo,17,10838,7,42,10
KJ12FVmumeA,17,281868,1546,245,885
2kyS6SvSYSE,22,2325233,91111,7543,21450
815lSYphlbw,26,196434,6305,88,762
DbJ2s_g1oDc,24,936075,21642,1202,2877
Jidk0O6uu-0,22,52607,3835,32,351
E_86MEdNsAI,24,91701,5930,70,743
64IIfxDrhJY,1,17129,455,18,101
1ZAPwfrtAFY,24,5086221,137819,10468,18395
gHZ1Qz0KiKM,28,860406,20489,2507,3083
k-w8GxCpsCU,17,2394,19,0,2
Cr9oGxr0Qa0,28,153583,6989,92,845
l4bAoNAx2uo,27,587752,11891,1777,6920
yxFdue1dCtE,17,128892,1935,68,288
aAm6AHr14zY,17,98396,93,19,46
ryqZUqgjvW8,24,90641,2349,409,1246
I-5CODzeGEE,1,62185,4369,82,867
FEjZiCPuvqQ,15,30576,1741,27,283
ENr6CXm1YxU,10,33887,1350,41,69
3x0usYgljOk,17,12494,252,3,91
YVfyYrEmzgM,27,338317,11251,120,680
jGiqc3HSxEg,27,232532,11933,231,607
R9c-_neaxeU,24,100472,5140,40,560
5E4ZBSInqUU,10,2814427,194199,3757,12409
VonJ4ASDO40,24,414929,8895,636,2594
puqaWrEC7tY,24,827546,15887,1299,3460
vU14JY3x81A,27,440163,17988,211,5752
lZ68j2J_GOM,23,141129,8451,239,349
iyrefjMs64k,24,34221,1445,593,903
5qpjK5DgCt4,23,4576001,172379,6952,9440
zZ9FciUx6gs,10,282854,12958,664,1060
SGVbdo2CkgI,24,30341,730,22,34
zxUwbflE1SY,24,207712,5447,143,1191
NfLVVJOuY5M,17,135459,9381,29,403
GKUE2U2qlzY,24,214305,4064,56,430
N0tmF4j4K6g,15,31910,1699,13,142
PaJCFHXcWmM,10,265822,9045,346,4701
Hq89wYzOjfs,27,11769,127,13,0
d380meD0W0M,24,2584165,147110,2305,19313
MltuW2kcREI,24,175760,15482,138,2164
VifQlJit6A0,24,220189,2338,565,1922
KhdecX0qjNA,10,157522,8012,85,286
e_7zHm7GsYc,10,84091,2892,95,122
i-LCORFB860,19,1037561,716,117,223
ogYum4kWXgk,24,174568,4934,65,208
EJu_wPGFTw0,17,10457,54,4,2
symdi5KSJts,24,212992,7049,209,365
7oRdswHqaf8,26,31076,1814,36,523
nc99ccSXST0,28,1154280,27632,1096,2547
F388-6yDDpc,17,984836,5855,530,3171
U0hAC8O7RoI,2,549044,16946,2438,1626
kWIzjMWmuYk,23,46545,5320,37,1596
oTObwUiXdYY,25,32347,145,44,245
_-aDHxoblr4,27,319797,17086,164,1356
kqmhCaF5_44,10,62620,1170,92,131
eNSN6qet1kE,28,372775,21214,119,3433
39idVpFF7NQ,24,2567518,18425,2950,2776
kIUHDwn51y8,2,120697,2376,38,492
TaTleo4cOs8,15,289923,8480,321,2011
5hEJsoDP2q4,24,209442,19069,289,836
zNqCVTs38nU,17,44320,130,77,42
GgVmn66oK_A,25,727427,9459,1446,3292
qC0I5PEhkJo,17,99999,143,12,32
iIxy3JN3-jc,25,85742,278,128,174
MNiweoKXwfg,24,20529,318,11,41
JBZTZZAcFTw,26,237111,2323,786,636
lBHPVE3AI6Y,25,104295,423,45,551
eAyxMv4IBH8,23,409445,6345,331,299
ZAQs-ctOqXQ,23,365006,9431,741,1278
fcVjitaM3LY,28,174023,7010,72,632
SFdO-19Xdho,10,37575,1679,21,82
qeWvgZLz9yU,26,248499,13613,359,1870
6VhU_T463sU,28,327935,4345,175,261
qK8AcryiniI,25,59466,39,14,34
p2hJxyF7mok,19,403564,2581,159,477
wwZ-T_WQ03A,1,264129,6161,356,579
9XSULcLI6Hg,25,36859,23,10,135
NZFhMSgbKKM,17,22101,83,74,61
hz7ukDjuq4w,24,133296,5012,159,737
dRpNZV18N_g,24,297046,9905,266,1551
MKLlDnUqho4,10,28147,1801,48,263
vWYyZMH_QjA,1,46308,4511,91,442
Lz7dya576HY,26,33513,607,42,70
CBVGjS_EJok,24,102878,225,182,0
ijJPFowBsBc,22,136066,4355,158,318
pjuPpVLXDQg,2,100120,154,15,48
JwboxqDylgg,17,42472,303,32,36
dQvIbulWCM4,23,863232,46439,1828,3708
n1WpP7iowLc,10,22702386,869304,50018,123227
VJlSq6h0LNg,17,6904,18,58,53
KLZl_sxSN_g,25,1338,4,0,0
n30k5CwLhS4,1,58604,828,253,305
0mlNzVSJrT0,22,121979,2901,210,595
bqgVB6Vl-lI,24,215222,4720,55,264
BWPrk9PUwQE,26,1826373,37692,2026,2759
QKwgif8OW1w,19,1118,6,0,2
PABlVzeldaM,25,251684,769,95,748
qooQd8AA7_M,10,6355501,424406,6451,28735
0tO_l_Ed5Rs,10,381688,16467,18775,8352
1WDj0DddCcM,25,6743,11,35,16
#NAME?,17,687,10,2,5
w0XYVssCKjw,17,190543,6369,137,518
0PpNlNJ6Nng,24,2083918,106243,1461,12707
STI2fI7sKMo,22,350422,4735,1839,744
sH0Agabp3Rs,24,8088,280,4,145
ZhSk8mPSWCg,24,3839,48,3,25
DM-ni_LSOFE,24,2328148,48904,3008,8459
c-3JxzN2u34,25,10309,254,7,19
9t9u_yPEidY,10,15432746,233172,19513,12709
9KIP-Ncp2jU,22,92327,182,45,0
eijd-yjXY9E,28,9036,427,14,79
KODzih-pYlU,22,216234,7715,230,470
fGTfbMioezc,1,5119,20,1,3
ujyTQNNjjDU,10,4435991,139054,4059,6887
8tbQHHso0oY,17,1249702,1988,299,1554
4v0nOAzcG2A,28,300601,10497,382,991
6340tX9M_eM,24,616371,8926,461,1026
8mhTWqWlQzU,22,3031863,121285,1186,6852
L_5_slz4ke4,25,10542,77,22,65
t4YAyT4ihIQ,23,3790933,127412,8857,5449
i4YQRLQVixM,28,1167646,2691,916,1122
1cgK-BIrXes,24,849499,27121,2042,5181
ObIQ0s02UHg,10,2398093,48511,2221,1843
Jw1Y-zhQURU,26,7727696,59673,11124,7350
lY_0mkYDZDU,10,383308,20371,627,1732
9Th4qTv-4jE,28,5366,19,0,2
k8NxqyGcZA4,24,272466,2586,5609,2323
_Iz83-Cmt6A,10,58135,519,69,65
2Vv-BfVoq4g,10,43449654,1788960,24548,93428
gLswXiRLdkA,26,525210,24412,1259,1847
