Label, GroupId, Feature1, Feature2, Feature3, Feature4
3,23,671,638,171,604
1,24,804,839,757,544
2,24,462,901,421,915
0,24,849,986,54,10
4,24,181,149,551,77
1,24,205,657,644,237
3,25,278,255,266,30
3,25,742,231,745,725
3,25,652,116,594,850
2,25,690,206,466,496
1,25,243,776,678,103
2,26,731,787,979,452
2,26,917,806,351,604
2,26,540,50,386,715
2,26,49,800,534,287
2,26,454,66,622,869
4,27,329,614,397,620
3,27,400,114,891,723
3,27,726,291,388,926
3,27,987,445,165,313
2,27,739,729,735,972
1,28,435,989,94,862
3,28,685,643,564,209
3,28,775,233,943,22
1,28,169,231,306,103
3,28,385,155,750,468
1,29,301,293,64,218
1,29,802,600,104,229
4,29,495,792,949,976
1,29,757,787,758,717
1,29,487,813,740,625
2,30,940,879,804,100
1,30,631,202,874,99
4,30,363,800,491,679
2,30,505,305,500,661
1,30,786,363,603,838
2,31,912,145,875,186
1,31,585,884,618,930
0,31,13,249,946,682
2,31,573,304,438,161
3,31,838,270,261,277
2,32,655,616,493,792
4,32,420,882,731,754
3,32,114,657,155,884
1,32,841,437,25,792
3,32,613,357,653,82
1,33,632,452,890,286
0,33,421,707,406,445
3,33,613,105,393,648
3,33,178,467,0,280
3,33,525,78,671,515
2,34,204,265,598,45
2,34,730,618,346,983
0,34,251,259,433,863
2,34,984,889,5,378
4,34,629,734,929,344
2,35,839,794,603,606
2,35,849,653,296,923
1,35,818,237,652,956
1,35,376,592,666,264
0,35,883,416,639,555
2,36,464,830,256,635
0,36,235,709,455,192
3,36,497,277,388,785
2,36,202,936,342,86
4,36,236,657,368,369
1,37,407,395,320,721
0,37,883,211,71,299
1,37,139,250,770,565
1,37,894,913,549,276
4,37,51,87,823,326
0,38,882,67,63,193
1,38,725,270,787,973
0,38,406,598,803,811
2,38,481,771,444,364
3,38,124,248,973,136
1,39,182,706,372,298
1,39,643,762,303,599
3,39,488,19,514,852
2,39,296,619,828,190
2,39,22,814,836,226
1,40,891,430,513,282
3,40,8,140,765,323
2,40,228,458,284,464
4,40,87,543,107,447
3,40,947,467,372,308
2,41,588,1,569,218
1,41,478,63,867,939
3,41,356,552,761,563
4,41,887,405,835,693
0,41,673,392,14,180
3,42,456,714,246,486
2,42,480,240,507,155
3,42,914,611,745,75
3,42,596,734,525,457
3,42,671,852,759,532
4,43,837,515,77,690
1,43,164,327,538,172
3,43,780,269,104,685
4,43,980,720,28,948
4,43,387,747,622,676
0,44,96,667,385,341
2,44,406,987,284,956
4,44,583,655,846,681
3,44,794,48,742,369
3,44,579,915,496,714
3,45,601,719,344,648
3,45,733,744,992,613
4,45,92,775,995,459
1,45,619,642,971,207
4,45,71,788,241,980
4,46,936,502,32,571
0,46,304,750,755,630
2,46,139,500,254,124
4,46,76,372,441,946
3,46,955,750,633,397
1,47,273,962,888,41
1,47,892,215,576,16
4,47,287,987,855,899
4,47,130,591,625,837
1,47,999,122,233,968
4,48,538,366,83,526
1,48,156,864,929,92
3,48,763,777,497,888
0,48,371,262,203,401
4,48,93,343,48,528
3,49,621,772,373,679
4,49,726,695,745,127
1,49,344,735,79,331
0,49,103,880,124,303
0,49,521,881,563,398
0,50,5,124,208,488
2,50,567,457,273,170
3,50,607,968,197,975
2,50,891,248,376,630
1,50,814,181,728,5
1,51,610,871,842,412
2,51,422,850,133,415
4,51,913,366,423,323
0,51,875,831,857,236
3,51,276,545,164,525
4,52,96,355,563,785
2,52,397,243,215,750
4,52,815,305,681,422
3,52,39,984,175,297
1,52,305,968,890,72
3,53,10,859,538,279
2,53,588,642,486,661
2,53,239,483,103,91
0,53,370,387,487,974
0,53,275,325,678,691
3,54,445,142,142,828
2,54,342,689,636,936
0,54,484,786,980,721
3,54,471,50,305,442
1,54,316,808,970,772
3,55,340,960,263,603
0,55,698,851,37,268
3,55,538,698,969,720
4,55,92,837,385,259
0,55,881,666,164,163
0,56,826,716,118,648
3,56,198,267,174,682
3,56,110,0,51,440
1,56,122,878,343,136
3,56,185,872,104,610
3,57,981,851,72,173
4,57,570,210,577,508
3,57,665,113,723,535
3,57,837,774,512,685
0,57,395,69,71,608
0,58,149,978,266,940
2,58,667,766,627,849
2,58,759,381,75,300
0,58,76,560,487,941
1,58,140,505,900,744
2,59,134,456,594,833
1,59,8,884,836,854
3,59,688,995,308,120
0,59,418,778,999,372
2,59,260,727,104,575
2,60,924,481,466,212
0,60,675,651,87,337
2,60,509,591,624,120
3,60,677,594,460,65
3,60,157,732,279,503
3,61,514,841,907,203
3,61,127,912,35,88
3,61,135,480,454,746
1,61,886,5,147,80
2,61,919,807,833,895
4,62,749,716,917,646
3,62,682,425,977,935
0,62,251,825,757,932
3,62,836,760,123,680
0,62,104,201,192,311
1,63,763,537,99,118
1,63,579,169,144,762
3,63,981,76,962,424
4,63,956,793,966,755
2,63,224,784,624,181
2,64,288,657,814,167
1,64,590,978,917,361
0,64,124,229,887,215
3,64,743,133,362,188
1,64,384,520,581,80
3,65,419,148,257,350
1,65,815,49,394,19
0,65,555,737,965,856
2,65,523,451,979,465
1,65,457,335,280,866
3,66,81,629,865,441
4,66,84,967,168,553
3,66,782,616,224,698
4,66,696,278,885,146
1,66,713,114,153,440
2,67,107,100,414,346
2,67,484,810,911,628
3,67,719,56,167,861
1,67,351,979,295,61
1,67,853,14,112,143
3,68,515,809,352,259
1,68,467,973,517,108
4,68,57,986,579,744
3,68,120,119,284,959
3,68,796,798,485,785
1,69,246,814,602,752
4,69,6,778,953,495
3,69,28,533,398,276
2,69,690,68,300,480
3,69,174,31,323,764
4,70,171,977,992,229
0,70,341,331,463,161
3,70,265,87,509,754
2,70,746,301,271,967
3,70,746,630,731,204
4,71,556,405,46,348
1,71,736,836,319,695
4,71,944,814,10,600
2,71,675,721,262,327
2,71,701,732,956,102
3,72,681,462,405,33
0,72,465,952,271,842
4,72,815,720,603,608
4,72,684,784,21,389
0,72,104,362,593,897
1,73,351,604,567,452
1,73,769,990,485,346
4,73,11,352,494,119
4,73,678,384,643,528
2,73,589,678,944,318
2,74,116,36,155,682
4,74,793,536,43,639
0,74,9,98,778,514
3,74,220,923,923,594
1,74,311,540,28,638
4,75,316,338,436,459
4,75,848,600,889,490
2,75,579,166,804,346
4,75,112,232,87,579
2,75,995,14,1,709
3,76,760,341,54,219
1,76,322,34,104,613
3,76,374,223,291,978
1,76,106,348,880,333
4,76,585,887,781,97
3,77,824,750,127,91
3,77,197,983,966,241
3,77,791,710,731,98
3,77,992,173,886,835
3,77,146,322,515,508
2,78,473,164,886,626
4,78,365,914,91,212
3,78,177,49,999,874
3,78,576,240,256,618
0,78,660,450,732,420
1,79,545,845,471,721
3,79,259,795,622,730
4,79,273,516,634,318
4,79,923,629,7,472
3,79,464,358,792,817
2,80,204,527,152,318
1,80,445,634,888,713
1,80,934,98,102,90
2,80,215,464,249,716
3,80,436,830,913,132
0,81,988,482,999,325
2,81,995,118,758,250
2,81,260,689,726,801
4,81,63,902,601,533
0,81,803,975,581,643
4,82,615,102,765,844
1,82,345,490,466,111
0,82,140,186,330,412
4,82,579,397,792,229
0,82,143,177,607,31
3,83,586,961,957,212
3,83,412,135,421,676
3,83,788,251,230,416
0,83,705,973,615,783
1,83,313,859,79,607
2,84,225,372,200,461
0,84,262,370,552,802
2,84,926,376,615,758
4,84,988,342,428,192
0,84,275,341,68,574
2,85,878,29,955,927
2,85,602,63,981,36
2,85,482,464,848,117
1,85,30,771,269,571
4,85,28,483,228,337
0,86,346,659,831,751
1,86,278,447,155,239
3,86,877,219,456,375
3,86,258,686,355,119
2,86,579,753,698,80
0,87,804,17,366,186
3,87,324,113,332,25
1,87,263,771,962,981
0,87,973,476,631,936
3,87,693,457,158,610
0,88,202,90,189,204
4,88,573,23,94,446
1,88,981,735,99,591
3,88,541,734,249,251
3,88,655,173,414,981
0,89,681,773,777,991
2,89,452,537,490,718
3,89,721,59,19,236
3,89,355,939,952,434
4,89,849,680,465,726
1,90,962,322,599,31
0,90,197,759,533,648
4,90,114,394,744,927
1,90,833,825,556,63
2,90,856,25,991,49
3,91,736,420,205,717
0,91,180,418,786,373
3,91,285,720,799,503
0,91,497,43,967,40
1,91,733,541,599,540
1,92,974,538,210,27
3,92,406,769,690,467
2,92,304,192,545,273
1,92,376,238,676,864
2,92,877,187,833,877
1,93,181,589,476,27
0,93,273,277,572,446
1,93,349,53,266,69
2,93,300,533,163,740
2,93,582,856,590,692
0,94,602,68,245,630
0,94,960,104,417,468
2,94,133,566,808,262
4,94,56,313,287,457
3,94,420,982,754,109
3,95,984,20,438,392
1,95,428,745,271,301
2,95,290,782,429,289
2,95,755,957,172,882
2,95,122,662,359,537
0,96,545,369,870,230
2,96,567,16,156,83
0,96,199,324,819,965
1,96,62,265,510,403
1,96,83,912,763,476
3,97,412,559,59,325
1,97,941,16,798,26
4,97,338,539,572,646
2,97,103,360,827,138
2,97,104,393,607,339
3,98,765,760,639,364
0,98,249,711,376,911
3,98,372,190,829,639
1,98,199,232,187,957
3,98,623,191,687,226
2,99,778,933,281,300
3,99,648,450,226,353
3,99,202,777,700,564
2,99,528,452,406,683
3,99,520,688,685,363
2,100,257,547,339,501
2,100,781,960,604,659
2,100,413,987,661,902
1,100,480,875,616,539
0,100,761,541,990,690
4,101,229,361,63,221
3,101,492,802,24,375
0,101,701,23,460,589
3,101,672,722,962,823
0,101,418,613,969,396
1,102,626,598,681,635
4,102,72,592,164,899
0,102,517,530,100,402
2,102,638,101,398,795
0,102,188,55,979,209
0,103,424,779,954,171
3,103,130,797,923,204
4,103,83,868,993,173
4,103,497,282,839,400
4,103,537,185,689,291
0,104,751,145,231,955
2,104,303,474,591,190
0,104,186,985,36,425
4,104,496,115,770,62
2,104,612,234,913,301
1,105,723,761,217,924
0,105,808,247,209,8
2,105,199,652,865,805
1,105,29,460,892,507
3,105,240,678,889,793
2,106,224,818,500,622
3,106,868,560,54,131
1,106,581,47,495,77
3,106,301,325,417,430
2,106,569,320,214,377
4,107,834,365,183,289
1,107,899,837,376,304
3,107,631,394,716,723
4,107,493,82,192,42
1,107,240,839,753,929
3,108,681,312,787,206
1,108,487,41,126,893
4,108,925,498,653,312
1,108,282,990,247,206
3,108,998,622,374,317
4,109,82,928,517,183
0,109,41,65,148,999
1,109,341,99,617,235
1,109,321,540,0,65
2,109,418,752,576,390
4,110,569,136,129,881
1,110,924,99,206,232
3,110,522,756,81,451
3,110,388,517,117,568
2,110,313,571,609,217
3,111,963,488,354,853
2,111,440,793,832,167
4,111,995,495,938,489
0,111,619,11,312,755
2,111,528,597,15,129
2,112,267,726,598,434
4,112,723,284,401,376
1,112,75,670,727,933
1,112,476,41,97,254
4,112,196,817,38,527
3,113,768,340,55,48
4,113,727,911,378,134
2,113,926,287,196,483
3,113,685,500,179,849
2,113,466,363,849,734
1,114,330,672,884,671
3,114,130,718,120,648
1,114,529,841,43,655
0,114,840,875,198,137
1,114,548,529,399,502
3,115,615,311,811,936
2,115,781,59,200,87
4,115,521,805,78,266
2,115,797,685,534,157
2,115,189,720,146,789
4,116,530,232,719,356
0,116,815,997,49,625
0,116,723,320,235,50
3,116,625,276,778,685
2,116,338,54,298,259
4,117,573,359,910,756
4,117,688,485,532,970
2,117,400,910,738,392
4,117,955,940,670,342
2,117,943,750,365,526
0,118,960,325,293,228
4,118,790,246,715,387
4,118,143,560,867,14
2,118,418,239,414,138
3,118,735,166,443,865
2,119,585,445,163,895
1,119,694,955,954,136
3,119,190,498,512,373
2,119,85,879,89,708
0,119,79,272,522,901
2,120,114,704,119,663
3,120,284,459,2,624
2,120,668,931,491,566
2,120,566,73,186,933
2,120,683,432,235,530
0,121,794,392,710,833
3,121,419,87,84,360
1,121,340,30,335,26
2,121,630,933,730,342
2,121,26,767,93,928
4,122,538,781,732,704
1,122,985,102,572,528
1,122,402,900,504,437
1,122,459,979,491,735
2,122,320,990,432,542
3,123,249,602,322,523
3,123,830,158,813,744
3,123,866,589,491,522
0,123,801,241,968,367
3,123,112,140,985,558
0,124,297,181,913,821
3,124,821,677,990,806
2,124,400,940,20,97
2,124,360,353,155,862
3,124,17,827,186,235
2,125,408,577,700,817
4,125,563,977,560,556
3,125,199,965,460,842
4,125,827,757,959,476
4,125,849,804,571,223
4,126,363,319,280,634
3,126,376,594,305,664
4,126,862,725,392,900
3,126,819,740,341,651
3,126,173,989,333,686
3,127,645,180,208,545
2,127,162,654,811,771
4,127,78,178,323,532
2,127,579,938,982,730
1,127,605,972,978,441
1,128,545,184,354,526
3,128,86,529,879,638
0,128,811,9,153,73
0,128,241,226,815,948
2,128,681,833,330,616
2,129,993,968,5,761
2,129,408,102,92,99
3,129,962,824,367,978
1,129,958,539,578,434
1,129,696,549,22,187
3,130,41,148,312,25
4,130,123,723,848,699
3,130,8,962,637,312
0,130,429,427,326,402
3,130,553,70,911,401
4,131,676,55,953,285
4,131,816,729,734,740
3,131,586,384,875,335
3,131,720,985,622,616
2,131,652,937,298,593
1,132,907,683,27,43
3,132,698,591,662,454
4,132,685,36,65,214
4,132,69,331,669,91
0,132,792,436,147,544
3,133,701,847,292,573
0,133,393,960,161,83
4,133,900,232,378,597
4,133,352,358,952,409
4,133,155,514,910,514
4,134,188,773,641,610
3,134,371,507,7,252
4,134,203,768,947,400
1,134,489,340,164,645
1,134,445,251,569,429
3,135,459,737,986,175
4,135,850,944,156,273
4,135,745,963,113,688
3,135,433,476,964,764
4,135,256,438,822,347
3,136,31,960,224,535
2,136,396,7,372,293
3,136,288,455,741,867
0,136,260,21,411,627
2,136,505,333,925,40
3,137,2,889,152,767
0,137,468,592,470,714
4,137,983,81,479,866
4,137,939,812,907,954
4,137,674,446,253,266
1,138,565,588,100,79
4,138,428,941,913,573
2,138,252,445,173,668
0,138,76,245,812,953
3,138,145,217,448,73
2,139,493,379,786,213
2,139,871,994,381,486
1,139,0,79,597,589
2,139,343,288,126,937
1,139,724,464,499,584
3,140,66,387,455,758
1,140,250,430,466,595
0,140,137,851,484,201
1,140,90,660,276,889
1,140,530,881,901,475
4,141,691,142,830,76
0,141,857,659,341,62
2,141,613,15,383,484
4,141,727,178,868,982
3,141,549,564,120,513
2,142,709,653,124,788
1,142,0,934,826,358
4,142,865,518,990,89
4,142,963,962,94,345
1,142,94,220,549,914
4,143,362,258,696,528
3,143,244,42,623,235
3,143,46,130,424,655
3,143,690,30,443,420
4,143,713,277,444,163
2,144,259,294,560,502
3,144,919,470,109,727
0,144,90,125,258,672
3,144,228,252,108,867
2,144,764,179,71,77
3,145,836,863,152,38
3,145,559,333,693,115
3,145,152,185,490,760
0,145,41,452,635,397
0,145,291,37,649,777
1,146,261,106,634,416
3,146,919,414,751,516
3,146,993,581,317,937
3,146,410,517,640,826
1,146,295,43,338,855
4,147,79,856,343,723
0,147,38,883,880,452
1,147,456,332,840,95
4,147,588,993,590,290
2,147,371,413,661,367
4,148,724,973,213,419
2,148,634,759,373,559
4,148,710,498,760,92
2,148,863,753,433,644
3,148,469,219,85,742
3,149,359,626,676,110
4,149,233,216,730,212
3,149,915,900,274,625
4,149,219,780,774,432
1,149,539,288,817,251
1,150,871,84,982,126
3,150,537,703,432,530
2,150,319,811,117,138
1,150,846,901,677,612
3,150,927,913,961,844
0,151,816,292,498,123
3,151,76,342,902,458
1,151,477,699,113,625
0,151,182,304,514,784
3,151,789,470,685,37
2,152,518,618,14,73
3,152,559,775,153,76
2,152,214,848,219,441
3,152,987,984,339,140
1,152,871,217,420,0
4,153,80,98,552,597
3,153,529,360,707,566
2,153,622,466,596,599
2,153,634,675,932,341
3,153,558,732,76,80
0,154,749,666,843,347
2,154,623,631,573,835
1,154,750,824,400,607
2,154,423,619,256,363
4,154,627,630,486,705
4,155,799,752,251,729
0,155,43,359,505,477
4,155,908,675,473,908
1,155,46,587,984,990
4,155,0,86,130,242
4,156,71,149,877,989
1,156,260,750,885,1
3,156,955,13,796,603
3,156,165,267,739,782
0,156,272,374,234,502
4,157,526,595,918,710
3,157,836,98,988,580
0,157,73,333,638,515
4,157,881,138,206,767
4,157,376,650,498,430
2,158,418,877,893,501
1,158,169,750,201,263
1,158,40,596,987,235
3,158,456,712,943,832
2,158,447,490,150,15
3,159,455,745,14,228
3,159,388,4,504,683
1,159,54,511,194,649
4,159,165,949,668,990
3,159,260,51,247,340
2,160,851,973,7,426
0,160,707,439,148,269
2,160,978,955,366,447
1,160,795,345,237,63
1,160,952,257,342,960
1,161,538,187,223,592
2,161,510,519,721,157
1,161,96,880,892,545
0,161,627,770,363,649
3,161,182,805,308,766
2,162,768,143,855,983
1,162,825,516,905,961
4,162,376,450,415,392
4,162,416,859,942,907
1,162,713,412,390,371
1,163,737,36,561,49
3,163,254,457,687,281
4,163,355,892,374,916
1,163,283,913,76,850
0,163,103,514,590,521
3,164,413,854,343,995
0,164,402,255,626,856
1,164,520,16,454,98
2,164,123,485,198,330
0,164,943,97,759,89
4,165,37,30,921,663
4,165,658,449,993,327
2,165,497,135,423,695
1,165,369,144,665,564
2,165,157,867,767,431
2,166,986,533,435,887
2,166,35,204,2,379
2,166,961,336,393,821
3,166,885,255,98,5
2,166,582,226,896,78
2,167,602,987,808,762
1,167,940,663,185,479
1,167,530,373,610,372
0,167,278,337,881,611
2,167,978,105,300,600
1,168,349,585,58,372
4,168,592,912,526,731
0,168,852,286,706,572
1,168,650,926,151,459
4,168,558,884,878,979
1,169,788,551,999,936
3,169,424,354,879,742
0,169,818,594,28,179
3,169,659,907,913,969
0,169,28,648,752,330
0,170,735,706,636,805
1,170,571,271,717,197
3,170,290,849,799,553
0,170,644,86,966,28
1,170,706,127,411,194
0,171,888,392,374,271
0,171,636,196,771,973
3,171,798,952,777,665
0,171,619,669,776,81
4,171,143,305,3,948
1,172,457,424,282,404
0,172,890,194,55,23
4,172,175,634,528,143
1,172,722,598,189,410
2,172,890,768,24,375
1,173,528,495,261,378
3,173,474,721,58,629
4,173,671,474,804,647
3,173,826,92,993,365
4,173,426,30,647,718
3,174,139,267,765,232
1,174,876,130,781,473
1,174,293,220,728,975
3,174,402,267,13,74
0,174,690,410,911,848
2,175,207,39,414,754
4,175,962,212,891,553
1,175,810,919,743,118
3,175,999,752,158,341
1,175,719,869,624,876
0,176,180,313,221,609
2,176,54,121,520,576
4,176,491,168,729,426
1,176,287,256,412,785
1,176,342,267,677,787
3,177,605,521,509,844
4,177,631,637,764,858
1,177,701,894,450,827
4,177,57,808,824,831
3,177,853,843,789,859
4,178,646,220,581,181
3,178,618,647,927,2
2,178,372,226,959,198
2,178,713,685,12,206
3,178,794,975,998,413
0,179,674,868,646,395
2,179,161,897,829,530
2,179,616,829,661,703
4,179,535,569,974,398
4,179,671,928,588,401
3,180,358,313,802,549
2,180,788,183,676,915
0,180,145,337,710,542
0,180,298,671,996,588
2,180,968,240,128,513
1,181,516,858,153,13
3,181,386,298,482,865
2,181,590,878,858,664
0,181,641,805,961,142
3,181,942,547,402,678
3,182,479,556,529,776
4,182,372,514,722,775
1,182,361,270,848,19
4,182,52,192,871,736
2,182,751,79,186,68
0,183,322,328,888,723
1,183,291,238,366,522
2,183,277,554,658,290
2,183,364,658,39,421
3,183,435,535,706,243
0,184,941,959,296,55
3,184,953,504,213,219
2,184,524,527,777,4
4,184,670,848,302,701
4,184,703,660,279,32
1,185,595,362,235,669
2,185,154,826,201,980
4,185,7,928,239,925
1,185,110,994,354,373
1,185,843,934,187,310
4,186,165,542,335,991
2,186,22,100,721,71
3,186,732,40,106,592
2,186,368,881,295,190
1,186,891,13,669,284
4,187,385,903,933,565
0,187,893,632,301,459
0,187,894,81,718,862
3,187,661,39,800,255
0,187,86,51,787,487
1,188,136,172,27,924
2,188,248,993,731,802
4,188,931,951,421,938
3,188,864,133,309,147
4,188,580,514,972,995
4,189,909,690,937,761
1,189,45,69,453,781
0,189,99,365,548,427
1,189,39,717,777,760
3,189,479,758,806,902
0,190,260,483,177,488
3,190,63,856,365,543
2,190,148,423,568,895
4,190,973,160,1,610
2,190,310,646,878,572
4,191,881,371,938,83
4,191,861,411,217,613
1,191,335,238,7,290
1,191,323,175,877,70
3,191,209,486,970,930
1,192,52,629,812,832
1,192,748,784,996,636
4,192,407,871,281,140
2,192,195,61,12,744
3,192,924,246,682,497
1,193,609,194,458,719
2,193,391,880,433,7
4,193,615,689,789,539
4,193,568,799,87,833
3,193,537,313,139,14
4,194,676,822,421,720
3,194,180,579,736,183
1,194,557,892,957,452
0,194,395,370,885,589
4,194,567,294,992,844
4,195,866,368,819,716
1,195,220,350,650,223
4,195,420,181,562,817
1,195,452,535,131,658
3,195,284,744,338,362
3,196,524,137,735,631
0,196,19,235,365,107
0,196,113,429,27,819
2,196,832,688,58,490
4,196,606,311,861,762
4,197,43,826,185,889
2,197,300,765,551,997
0,197,314,311,543,600
3,197,449,677,141,273
2,197,924,504,344,92
0,198,602,841,929,142
2,198,923,506,492,24
1,198,999,318,161,431
2,198,149,44,615,224
1,198,261,206,904,492
3,199,469,613,458,161
2,199,170,648,249,571
4,199,185,183,661,569
2,199,797,313,917,684
3,199,300,587,531,91
2,200,704,702,270,720
4,200,395,366,653,392
0,200,23,243,923,171
3,200,300,541,476,329
4,200,60,717,480,812
