reviewerID,unixReviewTime,summary,reviewText,recommend
A1CCUTTNJJRWLQ,1519257600,It's a man thing,It's a man thing,1
A346KIAJ2MI38D,1518134400,Great guy magazine,"Husband loves the magazine! Lots of good info, can be repetitive but maybe sometimes we need those reminders",1
A1SYEK1CRS9FAA,1521763200,Another great magazine. Once again I have not received my ...,Another great magazine. Once again I have not received my magazines since I moved. I put in a change of address.,1
AQ2S1QAI4R2V6,1388707200,Great Mag!,"For me, Glamour magazine is one of the best mags on the market today because it always contains up-to-date information in well-written articles accompanied by great photos.",1
AXV3OJG9BZ2JW,1362009600,great,"The item came in excellent conditions, well packed, very nice NEW, no defect, as i expected. . . . .",1
ASU7EOBD3Y4BV,1516147200,Bought as a gift,Bought as a gift,1
ATHNAXRXSQJKC,1516060800,Five Stars,My sweetheart loves that magazine,1
A1H2S3M1B3F5AX,1519862400,Five Stars,Grandchildren read and talk about it.,1
A3JBIT148KIFBY,1483056000,Five Stars,great deal for my office,1
A18X3E6V8DGIDZ,1517961600,Good read,Great gift for the science lover. Good variety of articles and pictures. Awesome for new technology thats ever changin,1
A14TR6YD2W23A3,1509148800,Great daily deal,"I've always enjoyed having an ""easy read"" magazine around the house. I can flip through it while watching TV, etc.<br />I have subscribed to several Amazon magazine deals, and have had no problem turning off the ""auto subscribe"" choice. We'll see if I have the same luck here.<br />The only reason this didn't get 5 stars was because this mag has a lot of info for parents & about kids. I'm retired, so it doesn't apply to me.",1
A1CKHSVHDVTKFT,1509148800,Excellent magazine,For any living space.,1
A1LUTC4A8E99WF,1508976000,Great,"Lots of ideas, decorating, recipes",1
A215WH6RUDUCMP,1241654400,One of my Favorite Magazines,"I get a lot of magazines.  A lot.  Very few get read through completely for obvious reasons; time, many other mags to read, not interested in ALL the content.  This is one I read through each and every month, along with Parents, TV Guide and Readers Digest.  It has great articles that appeal to almost everyone, humor, great advice, etc.  I really enjoy it and usually read it as soon as it arrives!",1
A1APD0GQAENV32,1448496000,Men's Health review.,I think I'm not into fitness enough to warrant having a Men's Health subscription but it's great for those who are into fitness.,1
A3EAMIMS5I3L22,1155427200,The Magazine Diva says.......,I suggested on my site to share the subscription price with a friend. This mag has a few good ideas but no exactly on the pulse of my life.,1
A38YE3LNT90GVO,1497916800,Five Stars,One of my favorite magazines,1
A2JWK70SOWNANV,1436659200,love it,super cheap subscription and easy to read layout on my kindle fire hd,1
A1JZFGZEZVWQPY,1434326400,Mens Health,"This is not a perfect magazine. For one, I was a charter subscriber when it first came out. I get the print and iPad edition. That has been awhile. While I have gotten older the magazine has stayed stuck at the same age. While I am now in an older demographic that its numbers are huge, it is pretty much ignored now.<br />Surely I am not the only fifty year old guy in good shape, or who is interested in being and staying that way. Maybe a mens health plus.<br />Anyway you get used to that sort of thing. One reviewer said all you need is one year of this magazine and it will cover everything. That could be true sort of, but I like it for the ideas, motivation, and it has some really cool food stuff, and recipes.<br />I get mens health, and I got womens health for the misses. The stories and info do not overlap. Most times I find womens health a better magazine. Womens health also suffers from the agest problem. They think their readers don't get older. If they follow their magazines fitness programs they should get older.. right?",1
A1G69BQLIUMWPN,1107993600,A great magazine!,"I love Glamour!  This has to be my favorite magazine of all times!  Granted the ads drive me nuts but I love the Do and Don'ts and all the clothes.  I am a shopping mogul!  This magazine is great for showing new trends and I love layering and almost always they are showing new ways of layering clothes and teaching you how to wear your clothes in a different exciting way.  I also enjoy the articles and life lessons as there is always something that I am interested in.  I read Glamour almost from cover to back!  I rarely skip articles!  If you like fashion and just articles on every life issues this magazine is for you!<br /><br />**I have noticed a change over the last year in the magazine, but it is not terrible.**",1
A3B6OPMZQ9DIO4,1431216000,Five Stars,Excellent content and diversity in material,1
A3EY1L8WLP10YZ,1490227200,Five Stars,happy grandmother,1
A1T17LMQABMBN5,1005523200,I suscribe to this magazine every year!,"I have subscribed to Glamour every year! I love the features about careers and relationships most -- although I also do love the beauty and fashion columns. Women in their twenties and thirties should all read Glamour. It is smart, sassy, sexy and entertaining! Subscribe today!",1
A3FEYXRV33UQU3,1473206400,Five Stars,FUN TO HAVE EVERY MONTH,1
A14VG00P4LF96L,1483574400,Feh!,Nothing but ads,0
A1FEDK55GMLSV,1482883200,love it,Had a subscription for many years. Never disappointed. Beautiful pictures.,1
A2KGI1OPBP7UNJ,1481328000,Five Stars,"I like this magazine, and it has lots of helpful articles on everything from baking to rated cosmetics.",1
A1WIVRB7HVZICJ,1475798400,Five Stars,A,1
A2NSEIMPXOLKSO,1466467200,Four Stars,Great ideas for decorating.,1
A2CUT3CM3IPFFW,1469318400,GOOD DEAL,Good price. Great magazine.,1
A1HV7PFWWGX2K3,1454198400,Five Stars,Excellent!,1
A301ZGFMBFN8UX,1409788800,Great Magazine!,Great Magazine that is full of tips and articles about guy stuff!  I learn something with every issue and it helps me keep up to date in this fast paced world we live in!,1
A2OTUWUSH49XIN,1451347200,Four Stars,I always find something I like in this magazine,1
APWZCNE81SMPW,1449964800,great,good value for your money if you still read paper mags,1
A168R2UBJO6Q7K,1442016000,A really great magazine....,I love the magazine and the price is right...When I am done with it; I pass it on to my mom and she passes it to her neighbors....Thank you much for having such a great magazine....We all enjoy it....,1
A1A81SEFIT63PB,1466467200,Great wood magazine!!,"The Handyman magazine is both my husband's and my favorite wood magazine!!  It not only contains some patterns, it has a lot of articles:  tips on how to make things work better, tips on cleaning things like brushes.  It contains a lot of information that both my husband and I use weekly in some way or another!!  My subscription is good through 2023!!  Love it!!  Thank you!",1
A3J5VEQ4VDUS2F,1466294400,Five Stars,very resourceful!,1
A37769B3IC2VWC,1437091200,updated for the times,"this magazine has definitely had some updates in the last few years, and the style and projects are great. Their website also features some fantastic guest writers/bloggers. I would recommend if the styles featured are your style.",1
A1G6396T44I72M,1435968000,Five Stars,Very nice magazine with great articles!!,1
AAZV7DET3J15U,1435536000,Five Stars,Its a mag,1
AXV3OJG9BZ2JW,1363305600,Five Stars,"Great Packing, Good Shipping time. All as expected.",1
A1UFMGEZGL7ASQ,1496188800,Loved this,Quickly shipped. Loved this item,1
A2EWTO7MMG82OD,1430438400,My better home,Nice magazine for great ideas in home and my garden!!!  A bit too much advertising...... But otherwise enjoyable,1
AAB2UG7X51G0D,1427673600,Five Stars,my wife is happy,1
AU4C2605UPXLR,1427500800,Excellent purchase,"Great magazine.  Filled with very pretty pictures and great ideas.  You might not have a home, but it offers great hints for those who would like to make their space feel more like one.  Very happy with this purchase.  You will be as well.",1
A8N76G7E26DM4,1426032000,The pages aren't glossy and pretty like with other home magazines and the articles/ideas are ...,This is a throwaway five dollar subscription for me. I take it to the gym to flip through on the treadmill and leave for someone else to do the same with. The pages aren't glossy and pretty like with other home magazines and the articles/ideas are typically a few months behind the better home magazines. But the price is right so I can't complain too much.,1
A1EWCCX0LSRO7J,1460332800,Good magazine,"Lots of useful tips and instructions.  Even though you may never build many of the projects, this magazine is full of ideas, knowledge, short cuts, and useful information.",1
A3QMJMTLJC34QC,1292198400,The Periodical of Lists and Little Else,"Bottom-Line: I have come to the conclusion the ""Men's Health"" is not written for me.<br /><br />The world of men's magazines is festooned with glossy covers adorned with half dressed woman and mostly vapid content geared toward the more Neanderthal and or juvenile among us.  In a world filled with Maxim and Stuff magazines, ""Men's Health"" magazine stands out as a periodical with some substance, style and intellect, but after reading the latest issue I am certainly not sold.  And what is with all of the lists?<br /><br />I had been meaning to pick up an issue of ""Men's Health Magazine"" for quite some time when I picked up a copy--the October 2007 issue--while shopping for a computer manual at Borders.  The cover--as they always tend to do--featured a rather buff Jason Statham and article titles in big bold letters designed to catch the attention of that man looking for advise on Six-Pack ABS, or how to Dress for More Sex, or how to Eat Better and Think Smarter, or (my favorite) read what 1,293 Sexy Women Confess What They Want in Bed.<br /><br />""Men's Health Magazine,"" whose tag line is Tons of Useful Stuff, was founded in 1987 and is published 10 times a year by the Rodale Inc.  The magazine began publishing in the United Kingdom in 1995.  Today ""Men's Health Magazine"" is published in 36 editions worldwide, distributed to 48 countries, and enjoyed a (2005) U.S. circulation of some 1.8 million.<br /><br />The problem with ""Men's Health"" is that there is very little useful information to be found with the fold of the magazine despite it daunting size.  Most of the articles are snippets of information stuck between far too many glassy advertisements featuring young male models in clothing I would never wear and probably couldn't afford.  Same for the automobiles.  To be sure there was one rather lengthy article in the issue I read, but it was about dogs of all things!  The article I wanted to have some substance--a snippet on Michelle Ryan, the new Bionic Woman--was barely a page in length; how disappointing.<br /><br />And yes there was a snippet or two about healthy food, but nothing I didn't already know.  And the lists, there are endless lists of thing we can do to improve this or that, mostly dealing with self-image and sex; there are very few actually devoted to well, men's health.  Has our attention span grown so short that we must now condense or leisure reading into bullet points; endless lists that tell us how to live our lives?<br /><br />I have come to the conclusion the ""Men's Health"" is not written for me, a man in the middle of his life, settled, with a family, a regular job, with far too little time work workout, and far too little money to afford the rich life-style pimped by the magazine.  There is little practical information inside the glossy innards of ""Men's Health"" at least from my perspective.  Perhaps if I were young, rich, hip, the magazine would appeal to me, but I am none of those things, so...By the way what is the deal with all the lists?  Oh I already asked that question, I am still waiting for an answer.",0
A1EWCCX0LSRO7J,1490918400,Four Stars,I think it is a good magazine.,1
A25QIPF7O9FBN1,1422144000,Awesome Gift Option,Love this magazine and so do the two co-workers who got a one year subscription to it. I like the idea of getting a present with purpose that keeps giving long after the festivities have ended. Ordering and adding their individual shipping information was easy.,1
A3G3ULZG2WCBAQ,1417478400,Five Stars,Love!,1
A1WTD80C8J0QE2,1487462400,Did not like this magazine,"Did not like this magazine, to much advertisements",0
A34900KFSU707V,1416182400,Loyal Subscriber Recommends Better Homes and Gardens:),Love to read the articles and recipes!  Loved to read mom's subscription growing up and now I've given it to my daughters.  Three generations of readers....,1
A3CPNN9CLKEPLB,1415145600,Five Stars,Love this magazine.,1
A1ZKZQPKU77Y62,1414972800,Another great magazine. I get some really good ideas in ...,Another great magazine. I get some really good ideas in this magazine from planting<br />and taking care of flowers to remodel a year in the house. Great Magazine.<br /><br />Cheryl,1
A1HV7PFWWGX2K3,1456099200,Five Stars,Just what I was looking for!,1
AEMZRE6QYVQBS,1160611200,what guys think about,"You can tell a lot about the readership a men's magazine is trying to reach by scanning the first three car ads. In the issue in front of me, they flog the Lincoln MKZ, Range Rover Sport, and Audi A6.<br /><br />There you have it. We're going for the affluent but not super-rich young guy who won't even become aware that the Lincoln Town Car and Audi A8 exist until he turns 55.  Well, 52 maybe.<br /><br />But you didn't need the cars to figure out MEN'S HEALTH.<br /><br />It's about what all men think about and what affluent guys with six-pack abs (in reality or in their dreams) can generally snag: expensive suits, beautiful women who seem never not to pout, and beefy arms to set off those abs.<br /><br />To be fair, there is actually a fair amount of *health* under discussion in these pages. But I doubt that's the main reason guys pull this magazine off the shelf instead of, say, DOG FANCIERS.<br /><br />In spite of an irritating habit of treating women as trophies to be won or dupes to be lured, there is a good bit of wit in here about what one might call the manly dilemma in the modern world. And if it really is lack of *just* the right workout regimen that has kept you from getting all that's on offer in MEN'S WORLD, well, there's at least one new workout each month that will cure all that ails you.<br /><br />Don't mistake this monthly for serious journalism. But you won't need a brown paper bag to carry it out of the store either.<br /><br />I kind of like it.",1
A3SJR0WL734EK,1414108800,It's ok,Little value in this but didn't expect it.  Just got it for a reception room and it served its purpose,1
A3H04WG2JTEY4C,1455148800,Five Stars,love the price and its a good magazine,1
A2BDYI4NK03TWF,1411776000,Five Stars,Great magazine. Sure glad I signed up to receive this magazine.,1
A4KNDZOQ1ENTO,1409097600,Great magazine,Got this for my wife. She loves it. So many good articles and great recipes.,1
A31M1C5W2G2Z65,1407456000,Five Stars,great reading,1
A7BTP3YNYRDLZ,1478044800,Five Stars,excellent,1
A37BJZ6CY5VT56,1477872000,Great magazine,Interesting articles.,1
A331QSLLJQ2OMY,1477267200,"Magazine is great, just trying to get it to the right person is a problem.",SAME problem with the POPULAR MECHANICS magazine...  Duplicates received and right name wrong address.<br />Manager of subscriptions is difficult to use.,0
A2ZIEZ7E36V0WG,1405900800,Five Stars,favorite,1
A2N1WT1EBTWTBV,1405900800,But great price.,Just not into magazines too many ads. But great price.,0
A331QSLLJQ2OMY,1475020800,"Magazine Subscription manager is sleeping on the job, tried to fix this problem three times, too much trouble!  Too much trouble","Love the print magazine that I have subscribed to for many years and given as gifts.  Now the ""free KINDLE "" magazine is charging me again?<br />I don't think it's right to be charged twice!!! and to try to get the magazine subscription manager for help is ridiculously difficult. Not worth my time but I am not going to pay for the kindle edition.  I have to cancel all my magazine subscriptions and buy them from the the publisher, Hello Amazon.",0
A68BZ1VAST1HY,1474243200,Perfect,Perfect,1
AQOG4Q2DQSMJ2,1401753600,"Never tire of Better Homes and Gardens Magazine-Kindle Edition let me read it anywhere, any time.","I have been reading Better Homes and Gardens for many years and have always checked the mail for my latest issue and now check my Kindle HD7 first! I have been married 46 years, raised 3 children, taking care of our home for all these years using so many ideas and gaining so much information for all from Better Homes and Gardens. Thank you Kindle for giving me another way to read my favorite magazine!",1
A1XA5RVUJQ2OQA,1440892800,"Great Magazine for husbands, even for the handy wife :-)","Husband loves this magazine, he looks forward to every month getting his new addition.",1
A1PAGHECG401K1,1396224000,quick read with lots of inspiration,"I have to admit, I'm more into BH&G for the ""gardening"" end of things, but I always find something in every issue that makes me rethink my aversion to redecorating/renovating my house in a huge way. The magazine is mostly ads, but the content is always interesting, the photos are always beautiful, and there really is *so* much to every issue- everything from home decor to gardening basics and beyond to day-to-day life.<br /><br />It's one of my favorite magazines, I just wish they had less ads (and pesky inserts- I have to shake the magazine as soon as I get it to get all the inserts out) and MORE of their fabulous content.",1
A2QI93E2DU7I57,1395792000,Great Magazine!,I love the different aspects of Better Homes and Garden and have it renewed until 2015!  This is a class magazine.,1
A3BEZFDYU1KM6A,1428624000,Five Stars,great ideas,1
A29CKNGVO8KEVI,1389830400,better homes,"I really enjoy the magazine because of the interesting decorating, recipes and items that are new and you may want.",1
A2JCFQC7Z4S0QJ,1458864000,Five Stars,Pleased with subscription.,1
AR86MLCPMEW4U,1383868800,Great content,Love the Better Homes and Gardens magazine. Makes me wish I owned a house with a nice garden. But reading this mag lets me dream.,1
A1C8WGGE4374RR,1453507200,Five Stars,satisfied,1
A36TFH4LILLSMP,1380067200,All around home magazine,"Better Homes has up to date, yet practical ideas for the home: decorating, family living, food preparation, gardening, and easy on the budget projects.",1
A2O6SU5YDVSDN4,1379116800,"Good for families, moms on the PTA, and those who entertain or cook a lot #2","(Forgive me if this looks like another of my reviews. Some of these mags are indistinguishable to me.)<br /><br />Ok, I do cook a lot, but my hubby is gluten free so a lot of the recipes are unusable, or need modification.<br /><br />Like all other ""home"" mags it's very consumer-driven. Buy this new cleaner/foundation/moisturizer. Buy these new rugs/lamps/sofas. Buy these backpacks/storage cubes/clothes that are trending now for your kids. Buy, buy, buy. I find this very off-putting. Even  the ""budget"" room remodels (furniture replacement) usually have ridiculously priced rugs, lamps, or chairs that I can't ever imagine buying.<br /><br />There are articles on handling family, financial, and social issues, party planning, etc as you would expect. It is very current, with discussions of sex (though not as frank as Redbook is), social media, and other issues.<br /><br />Bottom line, if you are a modern mom with some disposable income trying to ""do it all and look fabulous"" this is probably right for you. For me, no kids, not so youth-driven, seldom entertain, it's not that interesting.<br /><br />One thing this mag has over others in the Good Housekeeping Seal. They have the courage to stand behind items they feel truly work well and add to the quality of life for users.",1
A1KXONFPU2XQ5K,1012176000,Interesting Local Reading,"I have somewhat mixed feelings about this magazine, as I can not tell to what type of audience this is truly meant for.  The articles are hard hitting, and well written.  I can not dispute that.  Sometimes I simply don't find them all that interesting. I enjoy the restaurant reviews, its helpful knowing of a few good suggestions when traveling, or even locally.  I find the advertising in the magazine to be a bid auspicious as it seems to cater only to those high members of society that are in serious need of spa treatments and an occasional face lift.  Maybe its tough finding advertising, but I find that it takes away from articles about our local government and issues.<br />I do feel this is totally worth the subscription price, and you are bound to find 12 dollars of reading in a years time :)  This might even be a good gift idea from someone that is no longer in the area.",1
A2SHSCMG51TBUR,1421107200,Five Stars,waiting room,1
A2WLJW6XSIDJTT,1370908800,Magazines,I order this magazine for me and one of my daughter-inlaws.  We both enjoy the recipes and the decorating tips.  I pass mine along to a friend when I finish and she gives it to a group once she reads it.,1
A1PEOGIXZK8NEC,1370649600,Better Homes and Gardens subscription,"I still like the magazine BHG; however, I wasn't pleased with your service especially when it came to renewing subscriptions.  It seemed to be too much of my time spent on the computer and sorting through all my subscriptions as to what was renewed, the cost, etc.",1
A19ED8YUDCCS6H,1365465600,"If I am going to have a magazine in my home, it has to be this one","Have subscribed to this magazine for years.  Now that my vision is poor, I order it for my daughter in law and she looks forward to it's arrival each month.",1
